Date;Open;High;Low;Close;Volume;Market Cap
03/17/20;0,997378;1,01;0,955483;0,976145;46775877399;4531625713
03/16/20;1,00;1,04;0,977445;0,997004;57318450774;4628458993
03/15/20;1,00;1,02;0,991342;1,00;43945453268;4651590222
03/14/20;1,00;1,01;0,990399;1,00;48327975513;4649890998
03/13/20;1,04;1,08;0,899490;0,999629;99315334323;4640645554
03/12/20;0,998984;1,08;0,968090;1,05;74550564419;4891126961
03/11/20;1,00;1,01;0,994335;0,998806;47108137900;4636825895
03/10/20;0,997840;1,01;0,993959;1,00;51217843378;4650355068
03/09/20;1,01;1,01;0,991261;0,999048;63879966769;4637946745
03/08/20;1,00;1,02;0,997992;1,01;54758243672;4687746177
03/07/20;0,998021;1,01;0,997396;1,00;46199415513;4643212805
03/06/20;1,00;1,01;0,997728;0,998430;49389801062;4635080377
03/05/20;1,00;1,01;0,996369;1,00;49920180590;4654076714
03/04/20;1,00;1,01;0,996098;1,00;48605279710;4645253483
03/03/20;0,994988;1,01;0,993595;1,00;50681960308;4653959468
03/02/20;1,00;1,00;0,994205;0,995000;67439071909;4619155547
03/01/20;1,01;1,01;0,995004;1,00;45828960109;4644680725
02/29/20;0,996267;1,01;0,993575;1,01;44948749121;4671931514
02/28/20;0,998789;1,01;0,991933;0,997089;56902235264;4628852894
02/27/20;1,00;1,01;0,992670;0,998413;61401185853;4635002129
02/26/20;1,00;1,01;0,993807;1,00;68910958735;4655096434
02/25/20;0,998741;1,01;0,993926;1,00;55034243501;4649118780
02/24/20;0,999138;1,01;0,996022;0,998800;56599226979;4636796514
02/23/20;1,00;1,00;0,992563;0,998017;47448629411;4633159673
02/22/20;1,00;1,01;0,997046;1,00;41243330013;4650857755
02/21/20;1,00;1,01;0,993989;1,00;47618138884;4656933338
02/20/20;1,00;1,01;0,993834;1,00;55986244963;4654409109
02/19/20;1,00;1,03;0,996316;1,00;54920030584;4648512399
02/18/20;0,998397;1,01;0,989398;1,00;60616752516;4645888803
02/17/20;1,00;1,01;0,992153;0,998474;63038607545;4635284711
02/16/20;0,998857;1,01;0,995153;0,999272;60160518246;4638989017
02/15/20;0,999684;1,02;0,996736;0,999128;57250318373;4638318811
